plotID	type	date	precipitation_radolan	precipitation_radolan_rain_days	SD_Olivieri	SM_10	SM_20	Ta_10	Ta_200	Ta_200_cold_days	Ta_200_cool_days	Ta_200_growing_degree_days_10	Ta_200_ice_days	Ta_200_min	Ta_200_max	Ta_200_summer_days	Ta_200_tropical_days	Ta_200_tropical_nights	Ta_200_warm_days	Ts_05	Ts_10	Ts_20	Ts_50	WD	WV	WV_gust	Ta_200_max_raw	Ta_200_min_raw
AEG03	cowManure	10/07/2022	NA	NA	NA	31.56062	30.60437	18.13042	13.59708	0	0	3.6	0	8.98	17.2	0	0	0	0	18.1975	18.1975	17.9275	17.01333	NA	NA	NA	17.2	8.98
AEG03	cowManure	11/07/2022	NA	NA	NA	30.35375	29.41708	17.225	13.99542	0	0	4.78	0	7.23	19.56	0	0	0	0	17.61625	17.62708	17.55167	16.94291	NA	NA	NA	19.56	7.23
AEG03	cowManure	12/07/2022	NA	NA	NA	29.47479	28.32333	20.17792	16.91458	0	0	7.51	0	9.32	25.02	1	0	0	1	18.20584	18.03041	17.57583	16.85	NA	NA	NA	25.02	9.32
AEG03	cowManure	13/07/2022	NA	NA	NA	28.39375	26.99188	22.4375	20.70958	0	0	10.635	0	11.79	29.48	1	0	0	1	19.20375	18.84833	18.0375	16.96833	NA	NA	NA	29.48	11.79
AEG03	cowManure	14/07/2022	NA	NA	NA	27.45125	25.70771	24.02	23.38959	0	0	13.19	0	16.38	30.26	1	1	0	1	20.25125	19.82917	18.80542	17.28917	NA	NA	NA	30.26	16.38
AEG03	cowManure	15/07/2022	NA	NA	NA	26.5125	24.43916	21.03083	17.75291	0	0	7.6	0	11.86	23.34	0	0	0	1	19.51042	19.36083	18.81542	17.52958	NA	NA	NA	23.34	11.86
AEG03	cowManure	16/07/2022	NA	NA	NA	25.88729	23.58167	19.61708	16.53583	0	0	6.22	0	9.11	22.44	0	0	0	1	18.71625	18.67667	18.43417	17.49542	NA	NA	NA	22.44	9.11
AEG03	cowManure	17/07/2022	NA	NA	NA	25.40229	22.93292	21.87458	19.19792	0	0	8.935	0	10.52	27.35	1	0	0	1	19.20791	18.955	18.42417	17.42708	NA	NA	NA	27.35	10.52
AEG03	cowManure	18/07/2022	NA	NA	NA	24.95604	22.38021	23.565	21.90167	0	0	11.025	0	12.05	30.92	1	1	0	1	19.88375	19.50083	18.7225	17.50042	NA	NA	NA	30.92	12.05
AEG03	cowManure	19/07/2022	NA	NA	NA	24.55729	21.87458	24.51666	24.08916	0	0	12.02	0	14.04	32.78	1	1	0	1	20.60625	20.13083	19.1825	17.68417	NA	NA	NA	32.78	14.04
AEG03	cowManure	20/07/2022	NA	NA	NA	26.19854	21.40229	24.08958	22.99292	0	0	12.62	0	15.24	33.35	1	1	0	1	20.89917	20.50042	19.58333	17.94	NA	NA	NA	33.35	15.24
AEG03	cowManure	21/07/2022	NA	NA	NA	35.63937	21.77917	21.89458	19.41542	0	0	10.445	0	15.59	25.3	1	0	0	1	20.76542	20.45125	19.66084	18.16708	NA	NA	NA	25.3	15.59
AEG03	cowManure	22/07/2022	NA	NA	NA	29.99167	22.35687	23.94417	22.05625	0	0	11.7	0	13.4	33.19	1	1	0	1	20.9	20.5175	19.63292	18.2225	NA	NA	NA	33.19	13.4
AEG03	cowManure	23/07/2022	NA	NA	NA	27.45667	22.57084	22.62667	20.24	0	0	10.195	0	15.15	25.24	1	0	0	1	21.42084	21.0825	20.12958	18.45375	NA	NA	NA	25.24	15.15
AEG03	cowManure	24/07/2022	NA	NA	NA	26.75271	22.56583	24.55208	22.145	0	0	12.295	0	14.59	30.53	1	1	0	1	21.59333	21.16666	20.15542	18.56333	NA	NA	NA	30.53	14.59
AEG03	cowManure	25/07/2022	NA	NA	NA	25.75084	22.43437	24.25916	23.93208	0	0	13.22	0	16.44	32.12	1	1	0	1	21.57	21.24042	20.395	18.745	NA	NA	NA	32.12	16.44
AEG03	cowManure	26/07/2022	NA	NA	NA	24.87792	22.17292	21.79125	18.96667	0	0	9.05	0	15.21	22.89	0	0	0	1	20.73708	20.645	20.22125	18.83208	NA	NA	NA	22.89	15.21
AEG03	cowManure	27/07/2022	NA	NA	NA	24.29896	21.90896	20.51583	17.22292	0	0	7.17	0	11.6	22.74	0	0	0	1	19.81833	19.79916	19.62292	18.64792	NA	NA	NA	22.74	11.6
AEG03	cowManure	28/07/2022	NA	NA	NA	24.09979	21.80292	22.31417	19.44125	0	0	9.985	0	12.81	27.16	1	0	0	1	20.2875	20.02042	19.52083	18.51083	NA	NA	NA	27.16	12.81
AEG03	cowManure	29/07/2022	NA	NA	NA	24.02437	21.79042	19.79041	17.49917	0	0	8.635	0	13.43	23.84	0	0	0	1	20.48625	20.32375	19.845	18.59458	NA	NA	NA	23.84	13.43
AEG03	cowManure	30/07/2022	NA	NA	NA	23.94146	21.735	19.35875	17.58958	0	0	7.9	0	11.57	24.23	0	0	0	1	19.43208	19.44625	19.31333	18.43083	NA	NA	NA	24.23	11.57
AEG03	cowManure	31/07/2022	NA	NA	NA	23.93729	21.67083	20.23375	19.62583	0	0	10.175	0	12.67	27.68	1	0	0	1	19.27375	19.18875	18.97875	18.22458	NA	NA	NA	27.68	12.67
AEG03	cowManure	01/08/2022	NA	NA	NA	23.92146	21.61104	20.6475	18.98875	0	0	9.905	0	13.79	26.02	1	0	0	1	19.57958	19.43208	19.10458	18.15333	NA	NA	NA	26.02	13.79
AEG03	cowManure	02/08/2022	NA	NA	NA	23.9225	21.58063	22.04667	19.57708	0	0	10.005	0	13.02	26.99	1	0	0	1	20.28542	20.01167	19.35875	18.19458	NA	NA	NA	26.99	13.02
AEG03	cowManure	03/08/2022	NA	NA	NA	23.98792	21.56771	23.94209	22.67208	0	0	12.44	0	14.88	31.29	1	1	0	1	20.8225	20.44708	19.65125	18.32042	NA	NA	NA	31.29	14.88
AEG03	cowManure	04/08/2022	NA	NA	NA	24.01521	21.56542	26.23625	25.6675	0	0	13.5	0	17	34.17	1	1	0	1	21.73542	21.19958	20.16625	18.51875	NA	NA	NA	34.17	17
AEG03	cowManure	05/08/2022	NA	NA	NA	23.89104	21.46875	23.825	22.42708	0	0	12.96	0	15.97	29.95	1	0	0	1	21.65208	21.41167	20.63875	18.85125	NA	NA	NA	29.95	15.97
AEG03	cowManure	06/08/2022	NA	NA	NA	24.19208	21.31771	18.09708	15.53542	0	0	6.92	0	11.59	22.25	0	0	0	1	19.91708	20.06417	20.02042	18.86	NA	NA	NA	22.25	11.59
AEG03	cowManure	07/08/2022	NA	NA	NA	23.95896	21.26104	18.49417	16.69958	0	0	7.765	0	10.93	24.6	0	0	0	1	19.03833	19.11333	19.10208	18.47792	NA	NA	NA	24.6	10.93
AEG03	cowManure	08/08/2022	NA	NA	NA	23.84334	21.24187	19.40541	18.02958	0	0	8.045	0	10.21	25.88	1	0	0	1	18.91333	18.92625	18.79792	18.18875	NA	NA	NA	25.88	10.21
AEG03	cowManure	09/08/2022	NA	NA	NA	23.69	21.19312	20.22208	19.1125	0	0	8.72	0	11.61	25.83	1	0	0	1	19.00583	18.95583	18.73875	18.04667	NA	NA	NA	25.83	11.61
AEG03	cowManure	10/08/2022	NA	NA	NA	23.51562	21.07729	21.14417	19.42542	0	0	9.585	0	13.84	25.33	1	0	0	1	19.15084	19.065	18.7925	17.99542	NA	NA	NA	25.33	13.84
AEG03	cowManure	11/08/2022	NA	NA	NA	23.31333	20.92396	21.0625	19.4125	0	0	9.7	0	13.4	26	1	0	0	1	19.07292	18.97875	18.71542	17.9525	NA	NA	NA	26	13.4
AEG03	cowManure	12/08/2022	NA	NA	NA	23.12375	20.75354	20.13375	18.71833	0	0	8.665	0	12.2	25.13	1	0	0	1	18.81125	18.78666	18.6375	17.89958	NA	NA	NA	25.13	12.2
AEG03	cowManure	13/08/2022	NA	NA	NA	22.98646	20.57521	20.95833	18.95458	0	0	9.78	0	12.5	27.06	1	0	0	1	18.94	18.80875	18.51917	17.82	NA	NA	NA	27.06	12.5
AEG03	cowManure	14/08/2022	NA	NA	NA	22.84813	20.415	21.40125	20.12458	0	0	10.215	0	11.79	28.64	1	0	0	1	19.20709	19.0175	18.62917	17.81667	NA	NA	NA	28.64	11.79
AEG03	cowManure	15/08/2022	NA	NA	NA	23.14729	20.32854	20.33958	18.12542	0	0	8.88	0	13.25	24.51	0	0	0	1	19.8375	19.65083	19.15083	17.96625	NA	NA	NA	24.51	13.25
